"query","matched_name","ott_id","approx_match","flags","in_tree"
"colletotrichum graminicola","Colletotrichum graminicola",571507,FALSE,"",TRUE
"colletotrichum higginsianum","Colletotrichum higginsianum",1023961,FALSE,"",TRUE
"colletotrichum orchidophilum","Colletotrichum orchidophilum",455512,FALSE,"",TRUE
"colobus angolensis","Colobus angolensis",721482,FALSE,"",TRUE
"columba livia","Columba livia",938416,FALSE,"",TRUE
"condylura cristata","Condylura cristata",292504,FALSE,"",TRUE
"coniophora puteana","Coniophora puteana",429072,FALSE,"",TRUE
"coniosporium apollinis","Coniosporium apollinis",763035,FALSE,"",TRUE
"contarinia nasturtii","Contarinia nasturtii",408710,FALSE,"sibling_higher",TRUE
"copidosoma floridanum","Copidosoma floridanum",1058328,FALSE,"",TRUE
"coprinopsis cinerea","Coprinopsis cinerea",737441,FALSE,"",TRUE
"corapipo altera","Corapipo altera",1061608,FALSE,"",TRUE
"cordyceps fumosorosea","Isaria fumosorosea",559032,FALSE,"sibling_higher",TRUE
"cordyceps militaris","Cordyceps militaris",262721,FALSE,"sibling_higher",TRUE
"corvus brachyrhynchos","Corvus brachyrhynchos",331952,FALSE,"sibling_higher",TRUE
"corvus cornix","Corvus cornix",597020,FALSE,"sibling_higher",TRUE
"corvus moneduloides","Corvus moneduloides",200022,FALSE,"sibling_higher",TRUE
"cottoperca gobio","Cottoperca gobio",867530,FALSE,"",TRUE
"coturnix japonica","Coturnix japonica",803622,FALSE,"",TRUE
"crassostrea gigas","Magallana gigas",987409,FALSE,"",TRUE
"crassostrea virginica","Crassostrea virginica",365708,FALSE,"",TRUE
"cricetulus griseus","Cricetulus griseus",465012,FALSE,"",TRUE
"crocodylus porosus","Crocodylus porosus",35872,FALSE,"",TRUE
"cryptococcus amylolentus","Cryptococcus amylolentus",855583,FALSE,"sibling_higher",TRUE
"cryptococcus gattii","Cryptococcus gattii",6382511,FALSE,"sibling_higher",TRUE
"cryptococcus neoformans","Cryptococcus neoformans",48333,FALSE,"sibling_higher",TRUE
"cryptococcus wingfieldii","Tsuchiyaea wingfieldii",293755,FALSE,"",TRUE
"cryptomonas paramecium","Cryptomonas paramecium",303531,FALSE,"sibling_higher",TRUE
"cryptosporidium hominis","Cryptosporidium hominis",976206,FALSE,"",TRUE
"cryptosporidium parvum","Cryptosporidium parvum",775251,FALSE,"",TRUE
"cryptotermes secundus","Cryptotermes secundus",750450,FALSE,"",TRUE
"ctenocephalides felis","Ctenocephalides felis",81976,FALSE,"",TRUE
"cuculus canorus","Cuculus canorus",792628,FALSE,"",TRUE
"cucumis melo","Cucumis melo",1006256,FALSE,"",TRUE
"cucumis sativus","Cucumis sativus (species in domain Eukaryota)",1006246,FALSE,"",TRUE
"cucurbita maxima","Cucurbita maxima",379272,FALSE,"",TRUE
"cucurbita moschata","Cucurbita moschata",84409,FALSE,"",TRUE
"cucurbita pepo","Cucurbita pepo",379282,FALSE,"",TRUE
"culex quinquefasciatus","Culex quinquefasciatus",459728,FALSE,"",TRUE
"cutaneotrichosporon oleaginosum","Trichosporon oleaginosum",936889,FALSE,"sibling_higher",TRUE
"cyanidioschyzon merolae","Cyanidioschyzon merolae",85503,FALSE,"",TRUE
"cyanistes caeruleus","Cyanistes caeruleus",746120,FALSE,"",TRUE
"cyberlindnera jadinii","Cyberlindnera jadinii",284117,FALSE,"",TRUE
"cyclopterus lumpus","Cyclopterus lumpus",237344,FALSE,"",TRUE
"cyclospora cayetanensis","Cyclospora cayetanensis",1035811,FALSE,"",TRUE
"cynara cardunculus","Cynara cardunculus",991885,FALSE,"",TRUE
"cynoglossus semilaevis","Cynoglossus semilaevis",906506,FALSE,"",TRUE
"cyphellophora europaea","Cyphellophora europaea",794420,FALSE,"",TRUE
"cyphomyrmex costatus","Cyphomyrmex costatus",116619,FALSE,"",TRUE
"cyprinodon variegatus","Cyprinodon variegatus",82335,FALSE,"",FALSE
"cyprinus carpio","Cyprinus carpio",429083,FALSE,"",TRUE
"dactylellina haptotyla","Dactylellina haptotyla",889021,FALSE,"",TRUE
"daldinia childiae","Daldinia childiae",261672,FALSE,"",TRUE
"danaus plexippus","Danaus plexippus",190091,FALSE,"",TRUE
"danio rerio","Danio rerio",1005914,FALSE,"",TRUE
"dasypus novemcinctus","Dasypus novemcinctus",796672,FALSE,"",TRUE
"daucus carota","Daucus carota",372836,FALSE,"",TRUE
"debaryomyces fabryi","Debaryomyces fabryi",5674068,FALSE,"",TRUE
"debaryomyces hansenii","Debaryomyces hansenii",325560,FALSE,"",TRUE
"delphinapterus leucas","Delphinapterus leucas",851318,FALSE,"",TRUE
"dendrobium catenatum","Dendrobium catenatum",171958,FALSE,"",TRUE
"dendroctonus ponderosae","Dendroctonus ponderosae",1017374,FALSE,"",TRUE
"dendronephthya gigantea","Dendronephthya gigantea",688626,FALSE,"",TRUE
"denticeps clupeoides","Denticeps clupeoides",80438,FALSE,"",TRUE
"dermatophagoides pteronyssinus","Dermatophagoides pteronyssinus",99539,FALSE,"",TRUE
"desmodus rotundus","Desmodus rotundus",238431,FALSE,"",TRUE
"diabrotica virgifera","Diabrotica virgifera",687158,FALSE,"",TRUE
"diachasma alloeum","Diachasma alloeum",88735,FALSE,"",TRUE
"diaphorina citri","Diaphorina citri",624956,FALSE,"",TRUE
"dichomitus squalens","Dichomitus squalens",741212,FALSE,"",TRUE
"dictyostelium discoideum","Dictyostelium discoideum",160850,FALSE,"",TRUE
"dictyostelium purpureum","Dictyostelium purpureum",999663,FALSE,"",TRUE
"didymella exigua","Didymella exigua",139339,FALSE,"",TRUE
"dinoponera quadriceps","Dinoponera quadriceps",3253926,FALSE,"",TRUE
"diplodia corticola","Diplodia corticola",488127,FALSE,"",TRUE
"dipodomys ordii","Dipodomys ordii",917328,FALSE,"",TRUE
"dissoconium aciculare","Dissoconium aciculare",1091810,FALSE,"",TRUE
"diuraphis noxia","Diuraphis noxia",324246,FALSE,"",TRUE
"diutina rugosa","Diutina rugosa",408237,FALSE,"incertae_sedis_inherited",FALSE
"dothidotthia symphoricarpi","Dothidotthia symphoricarpi",975532,FALSE,"",TRUE
"dromaius novaehollandiae","Dromaius novaehollandiae",829513,FALSE,"",TRUE
"drosophila albomicans","Drosophila albomicans",930765,FALSE,"",TRUE
"drosophila ananassae","Drosophila ananassae",34911,FALSE,"",TRUE
"drosophila arizonae","Drosophila arizonae",607965,FALSE,"",TRUE
"drosophila biarmipes","Drosophila biarmipes",956240,FALSE,"",TRUE
