species	clade	dnds	te_total_copies	te_richness	n_recent_arrivals	arrival_fraction	genome_size_bp
Sitophilus_oryzae	Insecta	0.042951086100203	1398476.0	1570	305	0.1942675159235669	770567808
Thrips_palmi	Insecta	0.063833841320912	267532.0	627	50	0.0797448165869218	237845416
Trachymyrmex_zeteki	Insecta	0.063964011977272	196085.0	612	20	0.0326797385620915	267973152
Trichogramma_pretiosum	Insecta	0.055861039500502	57372.0	293	6	0.0204778156996587	187641947
Vanessa_tameamea	Insecta	0.072035842131114	556220.0	573	33	0.0575916230366492	357124929
Ailuropoda_melanoleuca	Mammalia	0.193097875037171	1890398.0	268	0	0.0	2444077458
Aotus_nancymaae	Mammalia	0.19494673806616	3215607.0	410	0	0.0	2861684817
Bos_taurus	Mammalia	0.185045368103447	3973121.0	371	4	0.0107816711590296	2715853792
Bubalus_bubalis	Mammalia	0.170736227051939	4459294.0	357	1	0.0028011204481792	2655780776
Callithrix_jacchus	Mammalia	0.172297154302264	3110223.0	387	1	0.0025839793281653	2914958544
Callorhinus_ursinus	Mammalia	0.215552946026651	2584770.0	257	1	0.0038910505836575	2706868872
Camelus_dromedarius	Mammalia	0.19002387620999	1254077.0	339	1	0.0029498525073746	2169346739
Camelus_ferus	Mammalia	0.220382558801485	1147021.0	299	0	0.0	2087093976
Canis_lupus_dingo	Mammalia	0.265784570959541	2680674.0	281	1	0.0035587188612099	2439831507
Capra_hircus	Mammalia	0.214872185653207	4048751.0	356	7	0.0196629213483146	2922813246
Castor_canadensis	Mammalia	0.135827672114964	2798301.0	408	1	0.0024509803921568	2518306565
Ceratotherium_simum_simum	Mammalia	0.221069376384713	2355355.0	424	4	0.0094339622641509	2464367180
Chinchilla_lanigera	Mammalia	0.138260640563295	3178621.0	372	1	0.0026881720430107	2390868971
Delphinapterus_leucas	Mammalia	0.240017396871197	2135615.0	374	4	0.0106951871657754	2362774659
Desmodus_rotundus	Mammalia	0.150995274797765	1410824.0	355	3	0.0084507042253521	2063808397
Enhydra_lutris_kenyoni	Mammalia	0.19419832039142	2583259.0	276	1	0.0036231884057971	2455276666
Equus_caballus	Mammalia	0.143916951878468	2063162.0	410	0	0.0	2506966135
Eumetopias_jubatus	Mammalia	0.228444382944754	2529707.0	305	2	0.0065573770491803	2418263165
Felis_catus	Mammalia	0.190946099261154	2711959.0	306	1	0.0032679738562091	2521863845
Globicephala_melas	Mammalia	0.222814606061459	2056549.0	327	2	0.0061162079510703	2333870982
Gorilla_gorilla_gorilla	Mammalia	0.217813016226421	3208702.0	403	1	0.0024813895781637	3044872214
Grammomys_surdaster	Mammalia	0.130674815425561	2398251.0	467	7	0.0149892933618843	2412664998
Hylobates_moloch	Mammalia	0.228427344647811	3013229.0	414	0	0.0	2848329432
Lagenorhynchus_obliquidens	Mammalia	0.216964306222481	2002108.0	328	1	0.0030487804878048	2334467171
Lontra_canadensis	Mammalia	0.176357499538067	2476956.0	256	2	0.0078125	2405748306
Macaca_fascicularis	Mammalia	0.195803802068916	3244428.0	428	5	0.0116822429906542	2946843737
Macaca_mulatta	Mammalia	0.227341891347625	3393338.0	454	1	0.0022026431718061	2971331530
Macaca_nemestrina	Mammalia	0.283242533349218	3340498.0	429	1	0.0023310023310023	2948703511
Marmota_flaviventris	Mammalia	0.194521932117934	3094038.0	377	6	0.0159151193633952	2581355786
Mesocricetus_auratus	Mammalia	0.123639337005673	2632132.0	456	1	0.0021929824561403	2504925039
Mirounga_leonina	Mammalia	0.225440880492605	2698437.0	294	0	0.0	2417320305
Monodon_monoceros	Mammalia	0.274344096689785	2013040.0	351	2	0.0056980056980056	2355574979
Nomascus_leucogenys	Mammalia	0.191487982148198	3285836.0	384	0	0.0	2843982884
Odocoileus_virginianus_texanus	Mammalia	0.167522626090607	3482618.0	357	0	0.0	2380505687
Ornithorhynchus_anatinus	Mammalia	0.090606602347432	5989671.0	428	0	0.0	1858552590
Ovis_aries	Mammalia	0.186770609235852	4398234.0	418	3	0.0071770334928229	2869914396
Pan_paniscus	Mammalia	0.26068896451512	3316732.0	390	0	0.0	3051901337
Pan_troglodytes	Mammalia	0.259516649573289	3343853.0	452	1	0.0022123893805309	3050398082
Papio_anubis	Mammalia	0.2493587971539	3223022.0	391	1	0.0025575447570332	2869821163
Phoca_vitulina	Mammalia	0.200364496211328	2638607.0	316	1	0.0031645569620253	2363596144
Phocoena_sinus	Mammalia	0.256386387171709	2169872.0	360	4	0.0111111111111111	2371524154
Pongo_abelii	Mammalia	0.201956496316074	3380947.0	435	1	0.0022988505747126	3065035716
Rattus_norvegicus	Mammalia	0.11934638442026	3147188.0	515	7	0.0135922330097087	2870184193
Rhinopithecus_roxellana	Mammalia	0.21371973963923	3490127.0	425	1	0.0023529411764705	3038477066
Rousettus_aegyptiacus	Mammalia	0.153523437822323	1033248.0	322	1	0.0031055900621118	1910250568
Sapajus_apella	Mammalia	0.179720112633741	3073728.0	394	2	0.0050761421319796	2729201088
Sarcophilus_harrisii	Mammalia	0.114235946642796	4440537.0	528	3	0.0056818181818181	3086674442
Theropithecus_gelada	Mammalia	0.23504504960308	3403644.0	447	4	0.0089485458612975	2889630685
Urocitellus_parryii	Mammalia	0.171129344241862	2463740.0	357	4	0.011204481792717	2520505282
Ursus_arctos_horribilis	Mammalia	0.205807489991438	2193040.0	299	4	0.0133779264214046	2328659882
